Lcdate,LC3,Path,Avinf,Adec,TOF,P0
20350717,94.36,357,8.66,51.73,8,15
20350718,97.62,357,10.6,50.8,7,15
20350721,73.09,337,7.05,55.04,12,15
20350804,55.69,337,7.01,55.09,12,25
20350822,50.6,337,8.1,52.54,11,35
20350828,56.92,337,8.08,52.47,11,25
20351022,50.8,337,6.77,56.02,12,35
20351205,86.77,3347,9.15,54.2,9,35
20360826,49.81,337,8.07,48.18,11,35
20360901,54.92,337,9.62,45.86,10,35
20360901,56.88,337,8.05,48.02,11,25
20360901,67.26,337,8.03,43.52,12,15
20360911,66.27,337,9.57,45.92,10,25
20360925,81.61,337,11.67,44.47,9,25
20361012,107.49,337,7.92,53,10,15
20361025,50.35,337,6.76,51.67,12,35
20361105,62.5,337,6.74,51.75,12,25
20361116,86.29,337,7.73,49.02,11,15
