Lcdate,LC3,Path,Avinf,Adec,TOF,P0
20290506,2.1,33358,12.97,8.98,13,15
20290508,1.66,33358,12.95,8.98,13,25
20290522,1.39,33358,12.89,8.98,13,35
20300411,11.31,3358,11.49,9.05,13,35
20300417,13.33,3358,11.47,9.05,13,25
20300427,17.99,3358,11.42,9.05,13,15
