Lcdate,LC3,Path,Avinf,Adec,TOF,DSMdv
20261112,24.86,322238,14.57,14.08,13,2.11
20261213,52.56,322238,14.4,14.1,13,1.29
20280607,22.53,323358,14.75,8.97,13,0.58
20290328,26.65,33458,14.43,8.48,12,0.78
20290328,26.49,33458,12.65,8.4,13,0.52
20300607,52.56,3358,12.81,8.98,12,1.51
20300611,52.56,3358,14.7,8.94,11,1.6
20300802,11.53,33458,10.72,8.36,13,6.23
