Path,Lcdate,LC3,Ldec,Lmass,Acdate,Atof,TOF,Avinf,Adec,EPprop,EPMassFracLaunch,Neng,P0
337,20280823,35.519866,20.797667,2935.1388,20380823,3652.5,10,11.955027,74.673936,411.9,0.140334079,2,25
337,20290128,29.880787,-4.6457346,3318.6762,20400128,4017.75,11,7.725,80.764944,928.9,0.279900763,2,25
337,20280624,28.625951,2.0259082,3408.6757,20380624,3652.5,10,10.175457,78.872221,465.8,0.13665131,2,25
337,20280625,35.836113,2.9750876,2914.5963,20390626,4017.75,11,10.139715,75.376373,386.9,0.132745657,2,25
337,20280818,27.401955,19.758728,3498.1832,20390819,4017.75,11,8.2314735,80.445297,450,0.128638203,2,25
337,20280703,29.715652,5.2819975,3330.4195,20370704,3287.25,9,12.46524,77.881881,495,0.148629925,2,25
337,20281012,14.970097,23.80355,4513.7966,20381012,3652.5,10,11.594722,74.703849,1093,0.242146489,2,25
337,20290820,27.228214,20.229147,3511.0284,20400819,4017.75,11,8.2024777,77.353418,468.1,0.133322761,2,25
337,20290901,36.194613,22.084921,2891.4285,20390902,3652.5,10,11.869215,70.721425,387.6,0.134051387,2,25
337,20290820,27.278688,20.241549,3507.2931,20400820,4017.75,11,8.200427,77.365011,464.9,0.132552366,2,25
337,20280830,23.253146,19.123404,3814.7781,20380830,3652.5,10,15.212994,69.686856,806.2,0.211336015,2,25
337,20290719,10.712432,10.514279,4912.0416,20400718,4017.75,11,10.004094,71.467714,963.9,0.196232051,2,25
337,20290820,27.221901,20.221981,3511.4959,20400819,4017.75,11,8.202868,77.353485,465.8,0.13265002,2,25
337,20290901,36.060351,22.058453,2900.0903,20390902,3652.5,10,11.870742,70.720368,393,0.135513022,2,25
337,20300828,27.427797,21.355895,3496.2755,20410827,4017.75,11,8.1469725,73.729875,443,0.126706262,2,25
337,20300901,35.40583,22.29596,2942.5705,20400831,3652.5,10,11.848069,66.546922,410.8,0.139605831,2,25
337,20300630,28.222479,4.4689406,3437.9907,20410630,4017.75,11,8.4092871,73.291634,452,0.131472142,2,25
337,20310919,18.847414,18.730421,4174.8228,20410918,3652.5,10,9.6702191,67.542968,1054.6,0.252609524,2,25
337,20300705,35.609131,6.8410203,2929.3303,20410705,4017.75,11,10.031192,67.393775,395.2,0.134911382,2,25
337,20300828,27.278477,21.370651,3507.3087,20410827,4017.75,11,8.1465643,73.735948,456.7,0.130213802,2,25
337,20300713,29.622627,8.6780646,3337.0482,20390714,3287.25,9,12.343191,70.274306,494,0.148035021,2,25
337,20300901,35.522149,22.313901,2934.9901,20400901,3652.5,10,11.846627,66.547695,406,0.138330961,2,25
337,20310831,27.297096,21.923897,3505.9315,20420831,4017.75,11,8.1070174,69.757619,460.8,0.131434399,2,25
337,20311022,14.471159,22.914224,4559.013,20411021,3652.5,10,11.444788,62.424155,1079,0.236674034,2,25
337,20310630,28.159631,4.7402515,3442.5738,20420630,4017.75,11,8.3832399,69.238906,459.8,0.133562859,2,25
337,20310904,27.890866,22.307705,3462.224,20410904,3652.5,10,9.6490455,67.878632,462.5,0.133584655,2,25
337,20310706,28.485828,6.1932873,3418.8356,20420705,4017.75,11,8.3628097,69.300965,445.1,0.130190525,2,25
337,20320712,28.446958,8.9664836,3421.6579,20420712,3652.5,10,9.9649893,63.179294,474.1,0.138558563,2,25
337,20310831,27.364716,21.92761,3500.9334,20420831,4017.75,11,8.1088306,69.74642,453.8,0.129622574,2,25
337,20310719,29.690486,10.645943,3332.2118,20400719,3287.25,9,12.271139,66.12989,481.9,0.144618658,2,25
337,20310911,35.850222,23.058504,2913.6822,20410910,3652.5,10,11.752377,62.308025,394.7,0.135464328,2,25
337,20320905,27.105983,22.520394,3520.0865,20430906,4017.75,11,8.0603762,65.65856,463.5,0.131672901,2,25
337,20320910,35.301434,23.224232,2949.3853,20420910,3652.5,10,11.727048,57.937584,409.3,0.13877468,2,25
337,20331210,58.425755,22.532579,1670.4984,20441210,4017.75,11,8.6181153,56.626007,583,0.34899764,2,25
337,20320801,36.711599,15.093663,2858.2401,20420802,3652.5,10,12.109586,57.569987,408.5,0.142920114,2,25
337,20320713,35.76937,9.5584518,2918.9235,20430714,4017.75,11,9.9307847,58.848488,384.1,0.131589608,2,25
337,20320828,13.544409,20.275349,4644.0026,20420828,3652.5,10,11.942921,57.584848,1032.6,0.222351297,2,25
337,20320905,27.128903,22.529506,3518.3866,20430906,4017.75,11,8.0609339,65.650173,456.6,0.129775392,2,25
337,20320725,29.712582,12.414039,3330.6381,20410725,3287.25,9,12.197282,61.876839,491.8,0.147659393,2,25
337,20330912,27.487528,23.006205,3491.8694,20440912,4017.75,11,8.0103173,61.475721,445.2,0.127496177,2,25
337,20330919,35.717702,23.50815,2922.2763,20430920,3652.5,10,11.637568,53.558861,394.2,0.134894842,2,25
337,20330720,28.467799,11.287717,3420.1449,20440720,4017.75,11,8.2523805,60.981496,448,0.130988602,2,25
337,20340717,17.132053,10.39432,4322.1257,20440716,3652.5,10,8.2736313,60.702246,683.5,0.158139778,2,25
337,20330717,28.553357,10.451896,3413.9364,20440717,4017.75,11,8.2610027,60.938149,437.8,0.128239062,2,25
337,20330829,13.397127,20.810059,4657.6309,20430829,3652.5,10,11.913668,53.189102,1016,0.21813665,2,25
337,20330915,35.289968,23.360811,2950.1344,20440915,4017.75,11,9.5140694,54.999499,380.7,0.129044968,2,25
337,20330727,29.433453,13.44954,3350.5579,20420727,3287.25,9,12.154394,57.506002,484.3,0.144543092,2,25
337,20330721,28.821569,11.504156,3394.5292,20430722,3652.5,10,9.8878672,58.901692,455,0.134039206,2,25
357,20340524,45.218197,-8.6199854,2347.5777,20450523,4017.75,11,5.9052717,49.648501,236.2,0.100614348,2,25
357,20340526,48.776191,-9.0848683,2152.3196,20410526,2556.75,7,12.635801,47.676361,218.2,0.101378996,2,25
357,20340525,46.960047,-8.8672814,2250.7196,20420525,2922,8,10.213595,47.600212,227.8,0.101212075,2,25
357,20340524,46.061162,-8.7397264,2300.3948,20430524,3287.25,9,8.3865818,47.850783,231.8,0.100765312,2,25
357,20340524,45.557869,-8.695516,2328.4951,20440523,3652.5,10,6.9877652,48.501858,234.1,0.100537038,2,25
357,20340523,45.182938,-8.618771,2349.564,20450523,4017.75,11,5.9054903,49.649375,237.7,0.101167706,2,25
357,20340526,48.756025,-9.0809911,2153.398,20410526,2556.75,7,12.635711,47.6761,218.5,0.101467541,2,25
357,20340525,46.951329,-8.8601978,2251.1982,20420525,2922,8,10.214191,47.602569,227.8,0.101190557,2,25
357,20340524,46.004616,-8.7691572,2303.5416,20430524,3287.25,9,8.387345,47.85383,234.4,0.101756356,2,25
357,20340524,45.486577,-8.675358,2332.4924,20440523,3652.5,10,6.9883864,48.506463,237.2,0.101693793,2,25
357,20330419,41.74527,-18.830578,2548.2702,20440419,4017.75,11,6.9381498,46.485801,242,0.094966382,2,25
357,20340527,48.985268,-9.0309407,2141.1574,20410526,2556.75,7,12.634424,47.675769,211.4,0.098731649,2,25
357,20340525,46.935362,-8.8954186,2252.0751,20420525,2922,8,10.214165,47.603219,229.3,0.101817208,2,25
357,20340524,46.020733,-8.7484945,2302.6444,20430524,3287.25,9,8.3870233,47.852365,233.2,0.101274865,2,25
357,20340524,45.509549,-8.6893773,2331.2039,20440523,3652.5,10,6.9881067,48.50561,235.7,0.101106557,2,25
357,20350703,51.610776,5.9620674,2003.8226,20460703,4017.75,11,5.3309932,57.276342,224,0.111786343,2,25
357,20350705,55.90794,6.4502822,1789.9093,20420705,2556.75,7,10.712524,50.890095,208.9,0.116709824,2,25
357,20350704,54.121706,6.2719873,1877.2399,20430704,2922,8,8.7383914,51.838707,219,0.116660636,2,25
357,20350704,53.03491,6.1283798,1931.4708,20440703,3287.25,9,7.2704357,53.177803,219.9,0.113851061,2,25
357,20350703,52.351288,6.0746454,1966.0173,20450703,3652.5,10,6.164803,54.982221,217.7,0.110731477,2,25
357,20350703,51.630437,5.9593755,2002.8137,20460703,4017.75,11,5.3307804,57.274585,223.6,0.111642935,2,25
357,20350705,55.813195,6.4572451,1794.4861,20420705,2556.75,7,10.714158,50.894441,211.4,0.117805315,2,25
357,20350704,54.123942,6.2438083,1877.1292,20430704,2922,8,8.7372201,51.834755,216.6,0.115388967,2,25
357,20350704,53.048259,6.1447735,1930.7995,20440703,3287.25,9,7.2699112,53.173336,219.3,0.113579893,2,25
357,20350703,52.323319,6.0618957,1967.4379,20450703,3652.5,10,6.1650829,54.985614,218.8,0.111210626,2,25
357,20360813,60.953929,22.012917,1554.7682,20470814,4017.75,11,5.4633504,66.924949,225.4,0.144973379,2,25
357,20350705,55.898445,6.4591912,1790.3677,20420705,2556.75,7,10.713398,50.893007,209,0.116735797,2,25
357,20360816,66.560354,28.109526,1312.16,20440816,2922,8,8.1549119,59.58296,212.5,0.161946714,2,25
357,20360815,64.882913,28.1124,1382.7941,20450815,3287.25,9,6.9680551,61.795735,214.1,0.154831439,2,25
357,20360815,62.888776,24.3527,1468.9107,20460815,3652.5,10,6.0966184,64.29552,221,0.150451624,2,25
357,20360813,60.973188,22.008261,1553.9022,20470814,4017.75,11,5.4633062,66.925404,225.1,0.144861112,2,25
357,20360816,68.116835,28.109199,1248.0525,20430816,2556.75,7,9.7898386,57.724966,206.7,0.165618033,2,25
357,20360816,66.604387,28.109276,1310.3276,20440816,2922,8,8.1550107,59.581702,211.2,0.161181066,2,25
357,20360815,64.835205,28.112723,1384.8268,20450815,3287.25,9,6.9680577,61.797476,215.9,0.155903973,2,25
357,20360814,62.89623,24.421023,1468.5843,20460815,3652.5,10,6.0967626,64.295608,220.7,0.150280784,2,25
357,20300210,43.823079,-17.667656,2426.9625,20410210,4017.75,11,11.683982,49.523848,236.2,0.0973233,2,25
357,20290209,47.982676,-17.054988,2194.993,20400209,4017.75,11,13.99879,51.890159,336.5,0.15330345,2,25
357,20310205,44.049615,-19.377288,2413.9609,20420204,4017.75,11,8.6254492,54.297902,279.5,0.115784808,2,25
357,20300209,44.020058,-17.82932,2415.6548,20410209,4017.75,11,11.494103,50.081094,269.6,0.11160535,2,25
357,20300210,43.980519,-17.952861,2417.9219,20410210,4017.75,11,11.545927,49.916275,256.5,0.106082831,2,25
357,20310221,41.456625,-19.988072,2565.42,20420220,4017.75,11,9.5667127,48.299262,243.7,0.094994192,2,25
357,20310302,42.95716,-21.567003,2477.0633,20410301,3652.5,10,11.713722,49.032358,336.4,0.135805976,2,25
357,20310220,41.641559,-20.11726,2554.4237,20420220,4017.75,11,9.423558,48.869548,280.2,0.109692061,2,25
357,20310304,43.126743,-21.772017,2467.2009,20410303,3652.5,10,11.795739,48.779576,307.3,0.124554105,2,25
357,20310309,43.189073,-21.830121,2463.5822,20410309,3652.5,10,12.209921,47.824172,239.3,0.097134977,2,25
357,20320311,44.1064,-4.7293263,2410.7086,20430312,4017.75,11,8.1701925,46.23092,387.9,0.160907046,2,25
357,20320403,52.583447,-5.3879738,1954.2475,20410403,3287.25,9,11.75672,48.35265,367.3,0.187949582,2,25
357,20320321,48.976996,1.1841471,2141.5984,20420322,3652.5,10,9.8923075,46.805861,382.2,0.178464833,2,25
357,20320315,44.422384,-4.7842924,2392.6609,20430315,4017.75,11,8.2444162,46.073186,390.2,0.163082031,2,25
357,20320402,53.29545,-4.5293693,1918.3931,20410402,3287.25,9,11.700929,48.494015,362.4,0.188908102,2,25
357,20320316,47.879277,1.2715527,2200.5899,20420317,3652.5,10,9.7552241,47.173688,387.9,0.176270917,2,25
357,20320511,60.309448,14.243513,1583.8831,20430512,4017.75,11,8.6139985,49.121263,316.8,0.200014761,2,25
357,20320408,56.694649,7.4871388,1752.1421,20420408,3652.5,10,10.218744,46.798942,409,0.233428556,2,25
357,20320514,60.931617,14.648071,1555.7718,20430515,4017.75,11,8.6199917,49.26911,318.3,0.204592987,2,25
357,20330419,41.745235,-18.831925,2548.2722,20440419,4017.75,11,6.938153,46.485856,242,0.094966307,2,25
357,20330418,44.322688,-20.232472,2398.3461,20410418,2922,8,12.109067,47.453985,223.4,0.093147524,2,25
357,20330418,42.628272,-19.549023,2496.2613,20420418,3287.25,9,9.9852494,46.583665,235.4,0.094301025,2,25
357,20330419,42.030632,-19.151672,2531.3876,20430419,3652.5,10,8.2859095,46.280202,238.4,0.094177597,2,25
357,20330419,41.750941,-18.928773,2547.934,20440419,4017.75,11,6.9373498,46.464358,243.2,0.095449882,2,25
357,20330418,44.24826,-20.244742,2402.5957,20410418,2922,8,12.11024,47.454045,226.2,0.094148175,2,25
357,20330418,42.681931,-19.552111,2493.123,20420419,3287.25,9,9.9848577,46.583544,233.8,0.093777964,2,25
357,20330419,42.077351,-19.098599,2528.6305,20430419,3652.5,10,8.2864089,46.284805,237.2,0.093805718,2,25
357,20330419,41.732385,-18.896767,2549.0342,20440419,4017.75,11,6.9379028,46.476189,244.1,0.095761759,2,25
357,20330419,42.071527,-19.124057,2528.974,20430419,3652.5,10,8.2867733,46.284637,240.6,0.095137396,2,25
367,20250430,54.399545,-15.123795,1863.5102,20360430,4017.75,11,7.4844612,68.03018,231.1,0.124013273,2,25
367,20250501,58.557777,-16.654718,1664.3531,20330501,2922,8,12.712747,68.207347,211.5,0.1270764,2,25
367,20250501,56.371719,-16.084298,1767.594,20340501,3287.25,9,10.589245,67.877119,219.1,0.123953804,2,25
367,20250430,55.117086,-15.514374,1828.3018,20350501,3652.5,10,8.8764758,67.83415,227.5,0.12443241,2,25
367,20250430,54.34267,-15.131423,1866.3162,20360430,4017.75,11,7.4846007,68.030522,231.6,0.124094727,2,25
367,20250501,58.524303,-16.664931,1665.9101,20330501,2922,8,12.71247,68.207274,211,0.126657495,2,25
367,20250430,56.313169,-16.042515,1770.4032,20340501,3287.25,9,10.590937,67.877595,224.3,0.126694303,2,25
